file,line,kind,name,in_cone
NavierStokes/ActivationBounds.lean,22,def,NavierStokes.ActivationBounds.parameterCoefficient,True
NavierStokes/ActivationBounds.lean,25,def,NavierStokes.ActivationBounds.parameterFactor,True
NavierStokes/ActivationBounds.lean,30,theorem,NavierStokes.ActivationBounds.parameterFactor_eq,True
NavierStokes/ActivationBounds.lean,35,theorem,NavierStokes.ActivationBounds.parameterFactor_smooth,True
NavierStokes/ActivationBounds.lean,50,theorem,NavierStokes.ActivationBounds.parameterFactor_zero,False
NavierStokes/ActivationBounds.lean,54,theorem,NavierStokes.ActivationBounds.parameterFactor_identity,True
NavierStokes/ActivationBounds.lean,63,theorem,NavierStokes.ActivationBounds.compact_parameter_jet_bound,True
NavierStokes/ActivationBounds.lean,90,abbrev,NavierStokes.ActivationBounds.ScaledPoint,True
NavierStokes/ActivationBounds.lean,92,def,NavierStokes.ActivationBounds.scaledDomain,True
NavierStokes/ActivationBounds.lean,94,theorem,NavierStokes.ActivationBounds.scaledDomain_open,True
NavierStokes/ActivationBounds.lean,98,def,NavierStokes.ActivationBounds.rescale,True
NavierStokes/ActivationBounds.lean,101,theorem,NavierStokes.ActivationBounds.rescale_smooth,True
NavierStokes/ActivationBounds.lean,107,def,NavierStokes.ActivationBounds.scaledDistance,True
NavierStokes/ActivationBounds.lean,110,theorem,NavierStokes.ActivationBounds.scaledDistance_smooth,False
NavierStokes/ActivationBounds.lean,115,theorem,NavierStokes.ActivationBounds.activation_scaled,True
NavierStokes/ActivationBounds.lean,119,theorem,NavierStokes.ActivationBounds.primitive_rescaled,True
NavierStokes/ActivationBounds.lean,134,theorem,NavierStokes.ActivationBounds.weightedPrimitive_rescaled,True
NavierStokes/ActivationBounds.lean,145,def,NavierStokes.ActivationBounds.primitiveErrorFactor,True
NavierStokes/ActivationBounds.lean,148,theorem,NavierStokes.ActivationBounds.primitiveErrorFactor_smooth,True
NavierStokes/ActivationBounds.lean,153,theorem,NavierStokes.ActivationBounds.weightedPrimitive_scaled_factor,True
NavierStokes/ActivationBounds.lean,162,def,NavierStokes.ActivationBounds.controlledErrorFactor,True
NavierStokes/ActivationBounds.lean,165,theorem,NavierStokes.ActivationBounds.controlledErrorFactor_smooth,True
NavierStokes/ActivationBounds.lean,170,theorem,NavierStokes.ActivationBounds.controlled_scaled_factor,True
NavierStokes/ActivationBounds.lean,179,def,NavierStokes.ActivationBounds.controlledValue,True
