file,line,decl,denominator,statement
NavierStokes/ActivationCone.lean,296,NavierStokes.ActivationCone.reducedStress_edge_projection,A,(reducedStress F A B κ 0 dA dB dR).1 + (B / A) * (reducedStress F A B κ 0 dA dB dR).2 = F * (A + B ^ 2 / A)
NavierStokes/ActivationContinuation.lean,44,NavierStokes.ActivationContinuation.projection_identity,A,p + q * (θ * (B / A) * R) - (A + θ * B ^ 2 / A) = (p - A) + (q - B) * θ * (B / A) * R + θ * B * (B / A) * (R - 1)
NavierStokes/ActualGaussianCoverage.lean,598,NavierStokes.ActualGaussianCoverage.normalizedLinear_apply,L,normalizedLinear (P := P) g L x = (g.coordinateLinear x.2).2 / L
NavierStokes/ActualGaussianCoverage.lean,603,NavierStokes.ActualGaussianCoverage.normalized_coordinate_affine,L,(g.coordinates k x.2).2 / L = (g.coordinates k 0).2 / L + normalizedLinear (P := P) g L x
NavierStokes/AnalyticCoefficientBounds.lean,303,NavierStokes.AnalyticCoefficientBounds.normalizedExp_re_of_real,C,(normalizedExp F Λ C (x : ℂ)).re = Real.exp (Λ * (F (x : ℂ)).re) / C
NavierStokes/AnalyticPrimitive.lean,199,NavierStokes.AnalyticPrimitive.amplitude_zero,C,amplitude g Λ C 0 = 1 / C
NavierStokes/AnalyticPrimitive.lean,234,NavierStokes.AnalyticPrimitive.amplitude_ofReal,C,"amplitude g Λ C x = ((Real.exp (Λ * (x * ∫ t in (0 : ℝ)..1, f (t * x))) / C : ℝ) : ℂ)"
NavierStokes/AxisSourceRegularity.lean,577,NavierStokes.AxisSourceRegularity.lowerPressureSource_eq_quotient,C,lowerPressureSource h C φ U v (k + 1) w = C⁻¹ ^ 2 * lowerConvolution φ φ (k + 1) w - (omega h U (fun j => axisFactor (v j)) k w / w.1) / 2
NavierStokes/AxisWeightEstimates.lean,186,NavierStokes.AxisWeightEstimates.coreWeight_factorial,ε,coreWeight ε n m = (1 / 20 : ℝ) ^ n * (ε⁻¹) ^ m * ((n + m).factorial : ℝ) / (n.factorial : ℝ)
NavierStokes/BaseChartJets.lean,640,NavierStokes.BaseChartJets.leadingFrequency_eq,C,leadingFrequency h C d p = (normalizedCoordinates h p).1 ^ (-CoordinateAlgebra.A h - 1 / 2) / C * d.phi 0 (normalizedCoordinates h p).2
NavierStokes/CartesianCopySource.lean,113,NavierStokes.CartesianCopySource.rotationMap_apply,cartesianRadius,"rotationMap y v = ![(y.1 / cartesianRadius y : ℝ) • v 0 - (y.2 / cartesianRadius y : ℝ) • v 1, (y.2 / cartesianRadius y : ℝ) • v 0 + (y.1 / cartesianRadius y : "
NavierStokes/CoordinateAlgebra.lean,165,NavierStokes.CoordinateAlgebra.xTime_from_qTime,q,xTime q h η X = -(X / q) * qTime h η
NavierStokes/ExtendedHeatDebts.lean,123,NavierStokes.ExtendedHeatDebts.correctionJet_succ,X,correctionJet h K (n + 1) ν X = switch K X * (2 / X) ^ (n + 1) * iteratedDeriv (n + 1) (HeatProfileExtension.extension (1 + h)) (2 * ν / X)
NavierStokes/ExtendedHeatDebts.lean,1030,NavierStokes.ExtendedHeatDebts.pressure_integrand_eq,X,squareChange (outgoingProfile d K η) d.h (diffusion η) K X / X = weightedJet (tailWeight d K true) true d.h K (-1) 0 (diffusion η) X
NavierStokes/FirstOrderBaseEdge.lean,60,NavierStokes.FirstOrderBaseEdge.first_angular_balance,R,"SlowStressSupport.stress 2 (SlowResidualMatching.thetaDensity h C (asSlowProfiles s) 1) (R, eta) = SlowStressSupport.moment R 2 (SlowStressSupport.axialOp2 h (S"
NavierStokes/FirstOrderBaseEdge.lean,754,NavierStokes.FirstOrderBaseEdge.first_axial_balance,R,"SlowStressSupport.stress 1 (SlowResidualMatching.zDensity h (asSlowProfiles s) 1) (R, eta) = SlowStressSupport.moment R 1 (SlowStressSupport.axialOp2 h (SlowStr"
NavierStokes/FiveRowRank.lean,385,NavierStokes.FiveRowRank.angularDebt_rescale,C,angularDebt C d = C⁻¹ • angularDebt 1 d
NavierStokes/FiveRowRank.lean,391,NavierStokes.FiveRowRank.axialDebt_rescale,C,axialDebt C d = C⁻¹ • axialDebt 1 d
NavierStokes/FiveRowRank.lean,397,NavierStokes.FiveRowRank.deltaV_rescale,C,deltaV lam C a b d = C⁻¹ • deltaV lam 1 a b d
NavierStokes/FiveRowRank.lean,403,NavierStokes.FiveRowRank.gamma_rescale,C,gamma lam C a b d = C⁻¹ • gamma lam 1 a b d
NavierStokes/GaussianTailFlat.lean,93,NavierStokes.GaussianTailFlat.slotCutoff_deriv,L,deriv (slotCutoff L) v = L⁻¹ * deriv profile (v / L)
NavierStokes/HarmonicWaveInteraction.lean,181,NavierStokes.HarmonicWaveInteraction.along_fullPhase_angular,b,along HarmonicResidual.angularDirection (fullPhase b n) p = (b.angularFrequency n : ℝ) / b.frequency n
NavierStokes/HeatProfileExtension.lean,206,NavierStokes.HeatProfileExtension.iteratedDeriv_scaledProfile,X,iteratedDeriv n (scaledProfile a X) ν = (2 / X) ^ n * iteratedDeriv n (extension a) (2 * ν / X)
NavierStokes/HeatTailEdit.lean,58,NavierStokes.HeatTailEdit.edit_after,X,edit E h ν K X = E X * RadialHeatProfile.profile (1 + h) (2 * ν / X)
NavierStokes/LeadingStressWeights.lean,559,NavierStokes.LeadingStressWeights.shearSize_eq,a,ActivationContinuation.shearSize a b = a + b ^ 2 / a
NavierStokes/LinearWaveResidual.lean,460,NavierStokes.LinearWaveResidual.map_div_ofReal,r,L (z / (r : ℂ)) = L z / r
NavierStokes/LocalSignedRequest.lean,855,NavierStokes.LocalSignedRequest.physicalBarSigma_eq_negative_primitive,r,"SignedStressPrimitive.physicalBarSigma P e (SimilarityCoordinates.coordinateQ coord) f (r, s) = -(∫ t in (0 : ℝ)..r, t ^ e * SignedStressPrimitive.physicalAdjus"
NavierStokes/LoopMoments.lean,272,NavierStokes.LoopMoments.oneSidedPair_upper_projection,d,p * ((oneSidedPair m p d V).rightValue - m) = V * p ^ 2 / d
