file,line,name,stmt_len,proof,touches_rec
NavierStokes/ActualParticularPotentialCoherence.lean,106,NavierStokes.ActualParticularPotentialCoherence.potential_eq,709,:= rfl,[]
NavierStokes/ActualCurrentParticularPhysical.lean,112,NavierStokes.ActualCurrentParticularPhysical.nativePotential_eq,639,:= rfl,[]
Euler/PacketInitializedSpatialBudget.lean,115,EulerPacketTerminalDatum.initializedDriftBudget_growth,629,:= rfl end EulerPacketTerminalDatum,[]
Euler/PacketForwardInitializedSpatialBudget.lean,113,EulerPacketTerminalDatum.forwardInitializedDriftBudget_growth,622,:= rfl end EulerPacketTerminalDatum,[]
Euler/RegularizedForcingWord.lean,29,EulerRegularizedForcingWord.forcingWordPath_apply,614,:= rfl,['truncate']
NavierStokes/CorrectionInitialization.lean,1012,NavierStokes.CorrectionInitialization.PrimaryConstruction.sourcePair_matrix,591,:= rfl end NativePair end PrimaryConstruction section PrimaryExcluded variable {,[]
NavierStokes/PrimaryTargetBounds.lean,631,NavierStokes.PrimaryTargetBounds.preparedCovariance_eq_construction,566,:= rfl,[]
Euler/ParentForwardInitialSupport.lean,49,EulerParentPacketFrames.Parent.normalizedPacketPressure_forwardInitialized,541,:= rfl,[]
Euler/ParentForwardInitialSupport.lean,40,EulerParentPacketFrames.Parent.normalizedPacketVelocity_forwardInitialized,541,:= rfl,[]
NavierStokes/ActualParticularStageControls.lean,813,NavierStokes.ActualParticularStageControls.selected_data_amplitude,531,:= rfl,[]
NavierStokes/ActualParticularStageControls.lean,821,NavierStokes.ActualParticularStageControls.selected_data_pressure,528,:= rfl section RawSelected variable (e : ℕ → ActivePair B N0),[]
Euler/PacketResidualTailFields.lean,51,EulerPacketCylinderField.PrefixFields.tailGradeField_path,494,:= rfl,[]
Euler/SobolevTransportCommutator.lean,34,EulerSobolevTransportCommutator.externalCommutator_apply,493,:= rfl omit [Fact (0 < period)] in,['word']
Euler/ChildParticleFieldBounds.lean,243,EulerChildParticleFieldBounds.Data.childAcceleration_apply,473,:= rfl,[]
NavierStokes/AxisymmetricResidualGrouping.lean,152,NavierStokes.AxisymmetricResidualGrouping.stateMeanCoefficientValue_erase,458,:= rfl,[]
NavierStokes/CorrectionInitialization.lean,1327,NavierStokes.CorrectionInitialization.GaugeInitialization.initialized_reconstructed,452,:= rfl end GaugeInitialization namespace GaugeInitialization open VariableGaugeM,[]
Euler/SobolevBaseCommutator.lean,33,EulerSobolevBaseCommutator.baseCommutator_apply,443,:= rfl,['word']
NavierStokes/ActualSignedStageControls.lean,111,NavierStokes.ActualSignedStageControls.parameters_raw,432,:= rfl,[]
