file,in_cone_thms,decls,structures,prop_defs,theorems,estimate_signal_frac,class
NavierStokes/SquaredPartition.lean,66,103,0,0,88,0.73,ESTIMATE
NavierStokes/IntegratedMeanBalances.lean,53,106,2,0,81,0.72,STRUCTURAL
NavierStokes/MeanStateRegularity.lean,53,67,5,2,56,0.64,STRUCTURAL
NavierStokes/TailEnergyBounds.lean,53,62,0,0,54,0.83,ESTIMATE
NavierStokes/ReleaseMoments.lean,48,64,0,0,56,0.71,ESTIMATE
NavierStokes/PulseCovariance.lean,44,91,3,0,65,0.80,STRUCTURAL
NavierStokes/CopyAngularInvariance.lean,37,56,1,2,49,0.67,STRUCTURAL
NavierStokes/ActualPhysicalPrefixFields.lean,34,43,1,1,34,0.82,STRUCTURAL
NavierStokes/ClosedNativeWaveIdentities.lean,34,44,4,0,40,0.68,STRUCTURAL
NavierStokes/ActivationCone.lean,31,55,0,0,40,0.82,ESTIMATE
NavierStokes/ResetEnergyBounds.lean,30,39,0,0,34,0.71,ESTIMATE
NavierStokes/ParametricModulation.lean,29,49,2,0,35,0.77,STRUCTURAL
NavierStokes/SimilarityProfile.lean,29,51,0,0,31,0.94,ESTIMATE
NavierStokes/EndpointCoordinates.lean,28,53,0,0,40,0.90,ESTIMATE
NavierStokes/VolterraRegularity.lean,28,47,1,0,40,0.88,STRUCTURAL
NavierStokes/ResidualRegularity.lean,27,30,0,0,30,0.83,ESTIMATE
NavierStokes/PeriodicPhaseAssembly.lean,25,95,1,0,76,0.50,STRUCTURAL
NavierStokes/ActualValidBandWaves.lean,24,31,0,0,25,0.72,ESTIMATE
NavierStokes/BasePrefixIdentity.lean,24,29,2,0,25,0.72,STRUCTURAL
NavierStokes/CurrentSignedCurl.lean,24,31,0,0,26,0.73,ESTIMATE
NavierStokes/ModulatedExterior.lean,24,37,1,1,33,0.79,STRUCTURAL
Euler/PacketGeometryLowBounds.lean,23,31,0,0,23,0.96,ESTIMATE
NavierStokes/HeatProfileExtension.lean,23,38,0,0,31,0.87,ESTIMATE
NavierStokes/LocalizedMomentRepair.lean,23,39,0,0,31,0.77,ESTIMATE
NavierStokes/ActualCarrierGeometry.lean,22,29,0,0,25,0.88,ESTIMATE
NavierStokes/AxisCoefficientSpace.lean,22,52,1,1,38,0.58,STRUCTURAL
NavierStokes/WaveStateRegularity.lean,22,28,1,3,22,0.82,STRUCTURAL
Euler/TransversePacketPrimaryPressure.lean,21,25,0,0,22,0.32,PLUMBING
NavierStokes/AxisTailRegularity.lean,21,35,0,0,31,0.94,ESTIMATE
NavierStokes/NaturalAxisRange.lean,21,26,1,0,24,0.96,STRUCTURAL
NavierStokes/ZerothStressIdentity.lean,21,24,0,0,21,0.76,ESTIMATE
Euler/MeanInteriorCutoffs.lean,20,30,0,0,23,0.35,PLUMBING
